ResourceId,ResourceType,ResourceNote,Property,Value,UserNote,Description,Required,Type,UpdateType,IsOmittable,Filename
BastionHost,AWS::EC2::Instance,,BlockDeviceMappings[0].Ebs.VolumeSize,,,"The size of the volume, in GiBs. You must specify either a snapshot ID or a volume size. If you specify a snapshot, the default is the snapshot size. You can specify a volume size that is equal to or larger than the snapshot size.
The following are the supported volumes sizes for each volume type:
gp2 and gp3:1-16,384
After the instance is running, modifying this parameter results in instance replacement.",Conditional,Integer,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,BlockDeviceMappings[0].Ebs.VolumeType,,,"The volume type. For more information, see Amazon EBS volume types in the Amazon EC2 User Guide. If the volume type is io1 or io2, you must specify the IOPS that the volume supports.
After the instance is running, modifying this parameter results in instance replacement.",No,String,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,BlockDeviceMappings[0].NoDevice,,,"To omit the device from the block device mapping, specify an empty string.
After the instance is running, modifying this parameter results in instance replacement.",Conditional,NoDevice,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,BlockDeviceMappings[0].VirtualName,,,"The virtual device name (ephemeralN). The name must be in the form ephemeralX where X is a number starting from zero (0). For example, an instance type with 2 available instance store volumes can specify mappings for ephemeral0 and ephemeral1. The number of available instance store volumes depends on the instance type. After you connect to the instance, you must mount the volume.
NVMe instance store volumes are automatically enumerated and assigned a device name. Including them in your block device mapping has no effect.
After the instance is running, modifying this parameter results in instance replacement.",Conditional,String,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,CpuOptions,,,"The CPU options for the instance. For more information, see Optimize CPU options in the Amazon Elastic Compute Cloud User Guide.",No,CpuOptions,Replacement,True,sample-template.json
BastionHost,AWS::EC2::Instance,,CpuOptions.CoreCount,,,The number of CPU cores for the instance.,No,Integer,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,CpuOptions.ThreadsPerCore,,,The number of threads per CPU core.,No,Integer,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,CreditSpecification,,,"The credit option for CPU usage of the burstable performance instance. Valid values are standard and unlimited. To change this attribute after launch, use ModifyInstanceCreditSpecification. For more information, see Burstable performance instances in the Amazon EC2 User Guide.",No,CreditSpecification,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,CreditSpecification.CPUCredits,,,The credit option for CPU usage of the instance. Valid values are standard and unlimited. T3 instances launch as unlimited by default. T2 instances launch as standard by default.,No,String,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,DisableApiTermination,,,"If you set this parameter to true, you can't terminate the instance using the Amazon EC2 console, CLI, or API; otherwise, you can. To change this attribute after launch, use ModifyInstanceAttribute. Alternatively, if you set InstanceInitiatedShutdownBehavior to terminate, you can terminate the instance by running the shutdown command from the instance.",No,Boolean,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,EbsOptimized,,,Indicates whether the instance is optimized for Amazon EBS I/O. This optimization provides dedicated throughput to Amazon EBS and an optimized configuration stack to provide optimal Amazon EBS I/O performance. This optimization isn't available with all instance types. Additional usage charges apply when using an EBS-optimized instance.,No,Boolean,Some interruptions,True,sample-template.json
BastionHost,AWS::EC2::Instance,,ElasticGpuSpecifications,,,"An elastic GPU to associate with the instance. An Elastic GPU is a GPU resource that you can attach to your Windows instance to accelerate the graphics performance of your applications. For more information, see Amazon EC2 Elastic GPUs in the Amazon EC2 User Guide.",No,List of ElasticGpuSpecification,Replacement,True,sample-template.json
BastionHost,AWS::EC2::Instance,,ElasticGpuSpecifications[0].Type,,,"The type of Elastic Graphics accelerator. For more information about the values to specify for Type, see Elastic Graphics Basics, specifically the Elastic Graphics accelerator column, in the Amazon Elastic Compute Cloud User Guide for Windows Instances.",Yes,String,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,ElasticInferenceAccelerators,,,An elastic inference accelerator to associate with the instance. Elastic inference accelerators are a resource you can attach to your Amazon EC2 instances to accelerate your Deep Learning (DL) inference workloads.,No,List of ElasticInferenceAccelerator,Replacement,True,sample-template.json
BastionHost,AWS::EC2::Instance,,ElasticInferenceAccelerators[0].Count,,,The number of elastic inference accelerators to attach to the instance.,No,Integer,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,ElasticInferenceAccelerators[0].Type,,," The type of elastic inference accelerator. The possible values are eia1.medium, eia1.large, eia1.xlarge, eia2.medium, eia2.large, and eia2.xlarge. ",Yes,String,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,EnclaveOptions,,,Indicates whether the instance is enabled for AWS Nitro Enclaves.,No,EnclaveOptions,Replacement,True,sample-template.json
BastionHost,AWS::EC2::Instance,,EnclaveOptions.Enabled,,,"If this parameter is set to true, the instance is enabled for AWS Nitro Enclaves; otherwise, it is not enabled for AWS Nitro Enclaves.",No,Boolean,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,HibernationOptions,,,"Indicates whether an instance is enabled for hibernation. For more information, see Hibernate your instance in the Amazon EC2 User Guide.",No,HibernationOptions,Replacement,True,sample-template.json
BastionHost,AWS::EC2::Instance,,HibernationOptions.Configured,,,"If you set this parameter to true, your instance is enabled for hibernation.",No,Boolean,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,HostId,,,"If you specify host for the Affinity property, the ID of a dedicated host that the instance is associated with. If you don't specify an ID, Amazon EC2 launches the instance onto any available, compatible dedicated host in your account. This type of launch is called an untargeted launch. Note that for untargeted launches, you must have a compatible, dedicated host available to successfully launch instances.",No,String,Some interruptions,True,sample-template.json
BastionHost,AWS::EC2::Instance,,HostResourceGroupArn,,,"The ARN of the host resource group in which to launch the instances. If you specify a host resource group ARN, omit the Tenancy parameter or set it to host.",No,String,Replacement,True,sample-template.json
BastionHost,AWS::EC2::Instance,,IamInstanceProfile,,,"The name of an IAM instance profile. To create a new IAM instance profile, use the AWS::IAM::InstanceProfile resource.",No,String,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,ImageId,"{'Fn::FindInMap': ['AWSRegionArch2AMI', {'Ref': 'AWS::Region'}, {'Fn::FindInMap': ['AWSInstanceType2Arch', {'Ref': 'BastionInstanceType'}, 'Arch']}]}",,The ID of the AMI. An AMI ID is required to launch an instance and must be specified here or in a launch template.,Conditional,String,Replacement,False,sample-template.json
BastionHost,AWS::EC2::Instance,,InstanceInitiatedShutdownBehavior,,,Indicates whether an instance stops or terminates when you initiate shutdown from the instance (using the operating system command for system shutdown).,No,String,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,InstanceType,{'Ref': 'BastionInstanceType'},,"The instance type. For more information, see Instance types in the Amazon EC2 User Guide.",No,String,Some interruptions,False,sample-template.json
BastionHost,AWS::EC2::Instance,,Ipv6AddressCount,,,[EC2-VPC] The number of IPv6 addresses to associate with the primary network interface. Amazon EC2 chooses the IPv6 addresses from the range of your subnet. You cannot specify this option and the option to assign specific IPv6 addresses in the same request. You can specify this option if you've specified a minimum number of instances to launch.,No,Integer,Replacement,True,sample-template.json
BastionHost,AWS::EC2::Instance,,Ipv6Addresses,,,[EC2-VPC] The IPv6 addresses from the range of the subnet to associate with the primary network interface. You cannot specify this option and the option to assign a number of IPv6 addresses in the same request. You cannot specify this option if you've specified a minimum number of instances to launch.,No,List of InstanceIpv6Address,Replacement,True,sample-template.json
BastionHost,AWS::EC2::Instance,,Ipv6Addresses[0].Ipv6Address,,,The IPv6 address.,Yes,String,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,KernelId,,,The ID of the kernel.,No,String,Some interruptions,True,sample-template.json
BastionHost,AWS::EC2::Instance,,KeyName,{'Ref': 'BastionKeyName'},,The name of the key pair. You can create a key pair using CreateKeyPair or ImportKeyPair.,No,String,Replacement,False,sample-template.json
BastionHost,AWS::EC2::Instance,,LaunchTemplate,,,"The launch template to use to launch the instances. Any parameters that you specify in the AWS CloudFormation template override the same parameters in the launch template. You can specify either the name or ID of a launch template, but not both.",No,LaunchTemplateSpecification,Replacement,True,sample-template.json
BastionHost,AWS::EC2::Instance,,LaunchTemplate.LaunchTemplateId,,,The ID of the launch template.,Conditional,String,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,LaunchTemplate.LaunchTemplateName,,,The name of the launch template.,Conditional,String,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,LaunchTemplate.Version,,,"The version number of the launch template. AWS CloudFormation does not support specifying $Latest, or $Default for the template version number.",Yes,String,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,LicenseSpecifications,,,The license configurations.,No,List of LicenseSpecification,Replacement,True,sample-template.json
BastionHost,AWS::EC2::Instance,,LicenseSpecifications[0].LicenseConfigurationArn,,,The Amazon Resource Name (ARN) of the license configuration.,Yes,String,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,Monitoring,,,"Specifies whether detailed monitoring is enabled for the instance. Specify true to enable detailed monitoring. Otherwise, basic monitoring is enabled. For more information about detailed monitoring, see Enable or turn off detailed monitoring for your instances in the Amazon EC2 User Guide.",No,Boolean,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,NetworkInterfaces,,,The network interfaces to associate with the instance.,No,List of NetworkInterface,Replacement,True,sample-template.json
BastionHost,AWS::EC2::Instance,,NetworkInterfaces[0].AssociateCarrierIpAddress,,,Not currently supported by AWS CloudFormation.,No,Boolean,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,NetworkInterfaces[0].AssociatePublicIpAddress,,,"Indicates whether to assign a public IPv4 address to an instance. Applies only if creating a network interface when launching an instance. The network interface must be the primary network interface. If launching into a default subnet, the default value is true.",No,Boolean,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,NetworkInterfaces[0].DeleteOnTermination,,,Indicates whether the network interface is deleted when the instance is terminated. Applies only if creating a network interface when launching an instance.,No,Boolean,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,NetworkInterfaces[0].Description,,,The description of the network interface. Applies only if creating a network interface when launching an instance.,No,String,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,NetworkInterfaces[0].DeviceIndex,,,"The position of the network interface in the attachment order. A primary network interface has a device index of 0.
If you create a network interface when launching an instance, you must specify the device index.",Conditional,String,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,NetworkInterfaces[0].GroupSet,,,The IDs of the security groups for the network interface. Applies only if creating a network interface when launching an instance.,No,List of String,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,NetworkInterfaces[0].Ipv6AddressCount,,,A number of IPv6 addresses to assign to the network interface. Amazon EC2 chooses the IPv6 addresses from the range of the subnet. You cannot specify this option and the option to assign specific IPv6 addresses in the same request. You can specify this option if you've specified a minimum number of instances to launch.,No,Integer,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,NetworkInterfaces[0].Ipv6Addresses,,,One or more IPv6 addresses to assign to the network interface. You cannot specify this option and the option to assign a number of IPv6 addresses in the same request. You cannot specify this option if you've specified a minimum number of instances to launch.,No,List of InstanceIpv6Address,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,NetworkInterfaces[0].Ipv6Addresses[0].Ipv6Address,,,The IPv6 address.,Yes,String,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,NetworkInterfaces[0].NetworkInterfaceId,,,"The ID of the network interface, when attaching an existing network interface.",No,String,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,NetworkInterfaces[0].PrivateIpAddress,,,The private IPv4 address of the network interface. Applies only if creating a network interface when launching an instance.,No,String,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,NetworkInterfaces[0].PrivateIpAddresses,,,One or more private IPv4 addresses to assign to the network interface. Only one private IPv4 address can be designated as primary.,No,List of PrivateIpAddressSpecification,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,NetworkInterfaces[0].PrivateIpAddresses[0].Primary,,,Indicates whether the private IPv4 address is the primary private IPv4 address. Only one IPv4 address can be designated as primary.,Yes,Boolean,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,NetworkInterfaces[0].PrivateIpAddresses[0].PrivateIpAddress,,,The private IPv4 addresses.,Yes,String,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,NetworkInterfaces[0].SecondaryPrivateIpAddressCount,,,The number of secondary private IPv4 addresses. You can't specify this option and specify more than one private IP address using the private IP addresses option.,No,Integer,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,NetworkInterfaces[0].SubnetId,,,The ID of the subnet associated with the network interface. Applies only if creating a network interface when launching an instance.,No,String,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,PlacementGroupName,,,The name of an existing placement group that you want to launch the instance into (cluster | partition | spread).,No,String,Replacement,True,sample-template.json
BastionHost,AWS::EC2::Instance,,PrivateDnsNameOptions,,,The options for the instance hostname.,No,PrivateDnsNameOptions,Some interruptions,True,sample-template.json
BastionHost,AWS::EC2::Instance,,PrivateDnsNameOptions.EnableResourceNameDnsAAAARecord,,,"Indicates whether to respond to DNS queries for instance hostnames with DNS AAAA records. For more information, see Amazon EC2 instance hostname types in the Amazon Elastic Compute Cloud User Guide.",No,Boolean,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,PrivateDnsNameOptions.EnableResourceNameDnsARecord,,,"Indicates whether to respond to DNS queries for instance hostnames with DNS A records. For more information, see Amazon EC2 instance hostname types in the Amazon Elastic Compute Cloud User Guide.",No,Boolean,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,PrivateDnsNameOptions.HostnameType,,,"The type of hostnames to assign to instances in the subnet at launch. For IPv4 only subnets, an instance DNS name must be based on the instance IPv4 address. For IPv6 only subnets, an instance DNS name must be based on the instance ID. For dual-stack subnets, you can specify whether DNS names use the instance IPv4 address or the instance ID. For more information, see Amazon EC2 instance hostname types in the Amazon Elastic Compute Cloud User Guide.",No,String,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,PrivateIpAddress,,,[EC2-VPC] The primary IPv4 address. You must specify a value from the IPv4 address range of the subnet.,No,String,Replacement,True,sample-template.json
BastionHost,AWS::EC2::Instance,,PropagateTagsToVolumeOnCreation,,,"Indicates whether to assign the tags from the instance to all of the volumes attached to the instance at launch. If you specify true and you assign tags to the instance, those tags are automatically assigned to all of the volumes that you attach to the instance at launch. If you specify false, those tags are not assigned to the attached volumes.",No,Boolean,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,RamdiskId,,,"The ID of the RAM disk to select. Some kernels require additional drivers at launch. Check the kernel requirements for information about whether you need to specify a RAM disk. To find kernel requirements, go to the AWS Resource Center and search for the kernel ID.",No,String,Some interruptions,True,sample-template.json
BastionHost,AWS::EC2::Instance,,SecurityGroupIds,[{'Ref': 'BastionSecurityGroup'}],,The IDs of the security groups. You can create a security group using CreateSecurityGroup.,Conditional,List of String,Some interruptions,False,sample-template.json
BastionHost,AWS::EC2::Instance,,SecurityGroups,,,"[EC2-Classic, default VPC] The names of the security groups. For a nondefault VPC, you must use security group IDs instead.",No,List of String,Replacement,True,sample-template.json
BastionHost,AWS::EC2::Instance,,SourceDestCheck,,,"Enable or disable source/destination checks, which ensure that the instance is either the source or the destination of any traffic that it receives. If the value is true, source/destination checks are enabled; otherwise, they are disabled. The default value is true. You must disable source/destination checks if the instance runs services such as network address translation, routing, or firewalls.",No,Boolean,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,SsmAssociations,,,"The SSM document and parameter values in AWS Systems Manager to associate with this instance. To use this property, you must specify an IAM instance profile role for the instance. For more information, see Create an Instance Profile for Systems Manager in the AWS Systems Manager User Guide.",No,List of SsmAssociation,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,SsmAssociations[0].AssociationParameters,,,The input parameter values to use with the associated SSM document.,No,List of AssociationParameter,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,SsmAssociations[0].AssociationParameters[0].Key,,,The name of an input parameter that is in the associated SSM document.,Yes,String,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,SsmAssociations[0].AssociationParameters[0].Value,,,The value of an input parameter.,Yes,List of String,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,SsmAssociations[0].DocumentName,,,The name of an SSM document to associate with the instance.,Yes,String,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,SubnetId,{'Ref': 'PublicSubnet'},,[EC2-VPC] The ID of the subnet to launch the instance into.,No,String,Replacement,False,sample-template.json
BastionHost,AWS::EC2::Instance,,Tags,,,"The tags to add to the instance. These tags are not applied to the EBS volumes, such as the root volume.",No,List of Tag,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,Tags[0].Key,,,"The key name of the tag. You can specify a value that's 1 to 128 Unicode characters in length and can't be prefixed with aws:. You can use any of the following characters: the set of Unicode letters, digits, whitespace, _, ., /, =, +, and -.",Yes,String,,True,sample-template.json
BastionHost,AWS::EC2::Instance,,Tags[0].Value,,,The value for the tag. You can specify a value that's 1 to 256 characters in length.,Yes,String,,True,sample-template.json
BastionHost,AWS::EC2::Instance,,Tenancy,,,The tenancy of the instance (if the instance is running in a VPC). An instance with a tenancy of dedicated runs on single-tenant hardware. ,No,String,Some interruptions,True,sample-template.json
BastionHost,AWS::EC2::Instance,,UserData,,,"The user data script to make available to the instance. For more information, see Run commands on your Linux instance at launch and Run commands on your Windows instance at launch. If you are using a command line tool, base64-encoding is performed for you, and you can load the text from a file. Otherwise, you must provide base64-encoded text. User data is limited to 16 KB.",No,String,Some interruptions,True,sample-template.json
BastionHost,AWS::EC2::Instance,,Volumes,,,The volumes to attach to the instance.,No,List of Volume,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,Volumes[0].Device,,,"The device name (for example, /dev/sdh or xvdh).",Yes,String,No interruption,True,sample-template.json
BastionHost,AWS::EC2::Instance,,Volumes[0].VolumeId,,,The ID of the EBS volume. The volume and instance must be within the same Availability Zone.,Yes,String,No interruption,True,sample-template.json
NATDevice,AWS::EC2::Instance,This is a ec2 instance,AdditionalInfo,,,"This property is reserved for internal use. If you use it, the stack fails with this error: Bad property set: [Testing this property] (Service: AmazonEC2; Status Code: 400; Error Code: InvalidParameterCombination; Request ID: 0XXXXXX-49c7-4b40-8bcc-76885dcXXXXX).",No,String,Some interruptions,True,sample-template.json
NATDevice,AWS::EC2::Instance,This is a ec2 instance,Affinity,,,"Indicates whether the instance is associated with a dedicated host. If you want the instance to always restart on the same host on which it was launched, specify host. If you want the instance to restart on any available host, but try to launch onto the last host it ran on (on a best-effort basis), specify default.",No,String,Some interruptions,True,sample-template.json
NATDevice,AWS::EC2::Instance,This is a ec2 instance,AvailabilityZone,,,The Availability Zone of the instance.,No,String,Replacement,True,sample-template.json
NATDevice,AWS::EC2::Instance,This is a ec2 instance,BlockDeviceMappings,,,The block device mapping entries that defines the block devices to attach to the instance at launch.,No,List of BlockDeviceMapping,Some interruptions,True,sample-template.json
NATDevice,AWS::EC2::Instance,This is a ec2 instance,BlockDeviceMappings[0].DeviceName,,,"The device name (for example, /dev/sdh or xvdh).
After the instance is running, this parameter is used to specify the device name of the block device mapping to update.",Yes,String,No interruption,True,sample-template.json
NATDevice,AWS::EC2::Instance,This is a ec2 instance,BlockDeviceMappings[0].Ebs,,,"Parameters used to automatically set up EBS volumes when the instance is launched.
After the instance is running, you can modify only the DeleteOnTermination parameter for the attached volumes without interrupting the instance. Modifying any other parameter results in instance replacement.",Conditional,Ebs,No interruption,True,sample-template.json
NATDevice,AWS::EC2::Instance,This is a ec2 instance,BlockDeviceMappings[0].Ebs.DeleteOnTermination,,,"Indicates whether the EBS volume is deleted on instance termination. For more information, see Preserving Amazon EBS volumes on instance termination in the Amazon EC2 User Guide.",No,Boolean,No interruption,True,sample-template.json
NATDevice,AWS::EC2::Instance,This is a ec2 instance,BlockDeviceMappings[0].Ebs.Encrypted,,,"Indicates whether the volume should be encrypted. The effect of setting the encryption state to true depends on the volume origin (new or from a snapshot), starting encryption state, ownership, and whether encryption by default is enabled. For more information, see Encryption by default in the Amazon Elastic Compute Cloud User Guide.
Encrypted Amazon EBS volumes must be attached to instances that support Amazon EBS encryption. For more information, see Supported instance types.
After the instance is running, modifying this parameter results in instance replacement.",No,Boolean,No interruption,True,sample-template.json
NATDevice,AWS::EC2::Instance,This is a ec2 instance,BlockDeviceMappings[0].Ebs.Iops,,,"The number of I/O operations per second (IOPS). For gp3, io1, and io2 volumes, this represents the number of IOPS that are provisioned for the volume. For gp2 volumes, this represents the baseline performance of the volume and the rate at which the volume accumulates I/O credits for bursting.
The following are the supported values for each volume type:
For io1 and io2 volumes, we guarantee 64,000 IOPS only for Instances built on the Nitro System. Other instance families guarantee performance up to 32,000 IOPS.
This parameter is required for io1 and io2 volumes. The default for gp3 volumes is 3,000 IOPS. This parameter is not supported for gp2, st1, sc1, or standard volumes.
After the instance is running, modifying this parameter results in instance replacement.",Conditional,Integer,No interruption,True,sample-template.json
